status	model_alias	model_name	offload_gb	profile_id	input_len	output_len	concurrency	run_no	result_file	utc_time
started	qwen	Qwen/Qwen2.5-7B-Instruct	0	reference	256	64	4	3	./profile_robustness_runs/qwen/offload0/bench_runs_plos_profile_robustness_v1_qwen_offload0_20260725_072735/qwen_profile-reference_offload0_conc4_run3.json	2026-07-25T05:30:41Z
completed	qwen	Qwen/Qwen2.5-7B-Instruct	0	reference	256	64	4	3	./profile_robustness_runs/qwen/offload0/bench_runs_plos_profile_robustness_v1_qwen_offload0_20260725_072735/qwen_profile-reference_offload0_conc4_run3.json	2026-07-25T05:30:56Z
started	qwen	Qwen/Qwen2.5-7B-Instruct	0	reference	256	64	8	3	./profile_robustness_runs/qwen/offload0/bench_runs_plos_profile_robustness_v1_qwen_offload0_20260725_072735/qwen_profile-reference_offload0_conc8_run3.json	2026-07-25T05:30:56Z
completed	qwen	Qwen/Qwen2.5-7B-Instruct	0	reference	256	64	8	3	./profile_robustness_runs/qwen/offload0/bench_runs_plos_profile_robustness_v1_qwen_offload0_20260725_072735/qwen_profile-reference_offload0_conc8_run3.json	2026-07-25T05:31:09Z
started	qwen	Qwen/Qwen2.5-7B-Instruct	0	long	512	128	4	3	./profile_robustness_runs/qwen/offload0/bench_runs_plos_profile_robustness_v1_qwen_offload0_20260725_072735/qwen_profile-long_offload0_conc4_run3.json	2026-07-25T05:31:09Z
completed	qwen	Qwen/Qwen2.5-7B-Instruct	0	long	512	128	4	3	./profile_robustness_runs/qwen/offload0/bench_runs_plos_profile_robustness_v1_qwen_offload0_20260725_072735/qwen_profile-long_offload0_conc4_run3.json	2026-07-25T05:31:32Z
started	qwen	Qwen/Qwen2.5-7B-Instruct	0	long	512	128	8	3	./profile_robustness_runs/qwen/offload0/bench_runs_plos_profile_robustness_v1_qwen_offload0_20260725_072735/qwen_profile-long_offload0_conc8_run3.json	2026-07-25T05:31:32Z
completed	qwen	Qwen/Qwen2.5-7B-Instruct	0	long	512	128	8	3	./profile_robustness_runs/qwen/offload0/bench_runs_plos_profile_robustness_v1_qwen_offload0_20260725_072735/qwen_profile-long_offload0_conc8_run3.json	2026-07-25T05:31:50Z
started	qwen	Qwen/Qwen2.5-7B-Instruct	0	short	128	32	4	3	./profile_robustness_runs/qwen/offload0/bench_runs_plos_profile_robustness_v1_qwen_offload0_20260725_072735/qwen_profile-short_offload0_conc4_run3.json	2026-07-25T05:31:50Z
completed	qwen	Qwen/Qwen2.5-7B-Instruct	0	short	128	32	4	3	./profile_robustness_runs/qwen/offload0/bench_runs_plos_profile_robustness_v1_qwen_offload0_20260725_072735/qwen_profile-short_offload0_conc4_run3.json	2026-07-25T05:32:02Z
started	qwen	Qwen/Qwen2.5-7B-Instruct	0	short	128	32	8	3	./profile_robustness_runs/qwen/offload0/bench_runs_plos_profile_robustness_v1_qwen_offload0_20260725_072735/qwen_profile-short_offload0_conc8_run3.json	2026-07-25T05:32:02Z
completed	qwen	Qwen/Qwen2.5-7B-Instruct	0	short	128	32	8	3	./profile_robustness_runs/qwen/offload0/bench_runs_plos_profile_robustness_v1_qwen_offload0_20260725_072735/qwen_profile-short_offload0_conc8_run3.json	2026-07-25T05:32:12Z
