status	model_alias	model_name	offload_gb	profile_id	input_len	output_len	concurrency	run_no	result_file	utc_time
completed	llama	meta-llama/Llama-3.1-8B-Instruct	12	long	512	128	4	2	./profile_robustness_runs/llama/offload12/bench_runs_plos_profile_robustness_v1_llama_offload12_20260724_171222/llama_profile-long_offload12_conc4_run2.json	2026-07-24T16:28:08Z
started	llama	meta-llama/Llama-3.1-8B-Instruct	12	short	128	32	8	2	./profile_robustness_runs/llama/offload12/bench_runs_plos_profile_robustness_v1_llama_offload12_20260724_171222/llama_profile-short_offload12_conc8_run2.json	2026-07-24T16:28:08Z
completed	llama	meta-llama/Llama-3.1-8B-Instruct	12	short	128	32	8	2	./profile_robustness_runs/llama/offload12/bench_runs_plos_profile_robustness_v1_llama_offload12_20260724_171222/llama_profile-short_offload12_conc8_run2.json	2026-07-24T16:30:54Z
started	llama	meta-llama/Llama-3.1-8B-Instruct	12	short	128	32	4	2	./profile_robustness_runs/llama/offload12/bench_runs_plos_profile_robustness_v1_llama_offload12_20260724_171222/llama_profile-short_offload12_conc4_run2.json	2026-07-24T16:30:54Z
completed	llama	meta-llama/Llama-3.1-8B-Instruct	12	short	128	32	4	2	./profile_robustness_runs/llama/offload12/bench_runs_plos_profile_robustness_v1_llama_offload12_20260724_171222/llama_profile-short_offload12_conc4_run2.json	2026-07-24T16:35:16Z
started	llama	meta-llama/Llama-3.1-8B-Instruct	12	reference	256	64	8	2	./profile_robustness_runs/llama/offload12/bench_runs_plos_profile_robustness_v1_llama_offload12_20260724_171222/llama_profile-reference_offload12_conc8_run2.json	2026-07-24T16:35:16Z
completed	llama	meta-llama/Llama-3.1-8B-Instruct	12	reference	256	64	8	2	./profile_robustness_runs/llama/offload12/bench_runs_plos_profile_robustness_v1_llama_offload12_20260724_171222/llama_profile-reference_offload12_conc8_run2.json	2026-07-24T16:40:35Z
started	llama	meta-llama/Llama-3.1-8B-Instruct	12	reference	256	64	4	2	./profile_robustness_runs/llama/offload12/bench_runs_plos_profile_robustness_v1_llama_offload12_20260724_171222/llama_profile-reference_offload12_conc4_run2.json	2026-07-24T16:40:35Z
completed	llama	meta-llama/Llama-3.1-8B-Instruct	12	reference	256	64	4	2	./profile_robustness_runs/llama/offload12/bench_runs_plos_profile_robustness_v1_llama_offload12_20260724_171222/llama_profile-reference_offload12_conc4_run2.json	2026-07-24T16:48:56Z
started	llama	meta-llama/Llama-3.1-8B-Instruct	12	reference	256	64	4	3	./profile_robustness_runs/llama/offload12/bench_runs_plos_profile_robustness_v1_llama_offload12_20260724_171222/llama_profile-reference_offload12_conc4_run3.json	2026-07-24T16:48:56Z
completed	llama	meta-llama/Llama-3.1-8B-Instruct	12	reference	256	64	4	3	./profile_robustness_runs/llama/offload12/bench_runs_plos_profile_robustness_v1_llama_offload12_20260724_171222/llama_profile-reference_offload12_conc4_run3.json	2026-07-24T16:57:16Z
started	llama	meta-llama/Llama-3.1-8B-Instruct	12	reference	256	64	8	3	./profile_robustness_runs/llama/offload12/bench_runs_plos_profile_robustness_v1_llama_offload12_20260724_171222/llama_profile-reference_offload12_conc8_run3.json	2026-07-24T16:57:16Z
completed	llama	meta-llama/Llama-3.1-8B-Instruct	12	reference	256	64	8	3	./profile_robustness_runs/llama/offload12/bench_runs_plos_profile_robustness_v1_llama_offload12_20260724_171222/llama_profile-reference_offload12_conc8_run3.json	2026-07-24T17:02:35Z
started	llama	meta-llama/Llama-3.1-8B-Instruct	12	long	512	128	4	3	./profile_robustness_runs/llama/offload12/bench_runs_plos_profile_robustness_v1_llama_offload12_20260724_171222/llama_profile-long_offload12_conc4_run3.json	2026-07-24T17:02:35Z
completed	llama	meta-llama/Llama-3.1-8B-Instruct	12	long	512	128	4	3	./profile_robustness_runs/llama/offload12/bench_runs_plos_profile_robustness_v1_llama_offload12_20260724_171222/llama_profile-long_offload12_conc4_run3.json	2026-07-24T17:19:02Z
started	llama	meta-llama/Llama-3.1-8B-Instruct	12	long	512	128	8	3	./profile_robustness_runs/llama/offload12/bench_runs_plos_profile_robustness_v1_llama_offload12_20260724_171222/llama_profile-long_offload12_conc8_run3.json	2026-07-24T17:19:02Z
completed	llama	meta-llama/Llama-3.1-8B-Instruct	12	long	512	128	8	3	./profile_robustness_runs/llama/offload12/bench_runs_plos_profile_robustness_v1_llama_offload12_20260724_171222/llama_profile-long_offload12_conc8_run3.json	2026-07-24T17:29:26Z
started	llama	meta-llama/Llama-3.1-8B-Instruct	12	short	128	32	4	3	./profile_robustness_runs/llama/offload12/bench_runs_plos_profile_robustness_v1_llama_offload12_20260724_171222/llama_profile-short_offload12_conc4_run3.json	2026-07-24T17:29:26Z
completed	llama	meta-llama/Llama-3.1-8B-Instruct	12	short	128	32	4	3	./profile_robustness_runs/llama/offload12/bench_runs_plos_profile_robustness_v1_llama_offload12_20260724_171222/llama_profile-short_offload12_conc4_run3.json	2026-07-24T17:33:41Z
started	llama	meta-llama/Llama-3.1-8B-Instruct	12	short	128	32	8	3	./profile_robustness_runs/llama/offload12/bench_runs_plos_profile_robustness_v1_llama_offload12_20260724_171222/llama_profile-short_offload12_conc8_run3.json	2026-07-24T17:33:41Z
completed	llama	meta-llama/Llama-3.1-8B-Instruct	12	short	128	32	8	3	./profile_robustness_runs/llama/offload12/bench_runs_plos_profile_robustness_v1_llama_offload12_20260724_171222/llama_profile-short_offload12_conc8_run3.json	2026-07-24T17:36:27Z
